Name,Sample,Plate,Location,dna_concentration_ng_per_ul,sequencing_run
Edna,MINH2_N_914,2,B4,1.06,February_2015
Edna,MBRE1_N_914,2,C4,0.98,February_2015
Edna,MBRE2_N_914,2,D4,2.06,February_2015
Edna,MBRH1_N_914,2,E4,1.38,February_2015
Edna,MBRH2_N_914,2,F4,0.63,February_2015
Edna,MOTE1_N_914,2,G4,3.04,February_2015
Edna,MOTE2_N_914,2,H4,1.73,February_2015
Edna,MOTH1_N_914,2,A5,0.42,February_2015
Edna,MOTH2_N_914,2,B5,0.92,February_2015
Edna,MDPE1_N_914,2,C5,0.61,February_2015
Edna,MDPE2_N_914,2,D5,2.2,February_2015
Edna,MDPH1_N_914,2,E5,1.02,February_2015
Edna,MDPH2_N_914,2,F5,0.98,February_2015
Edna,Nano_C1,2,G5,0.5,February_2015
Edna,Nano_C2,2,H5,0.47,February_2015
Edna,Nano_C3,2,A6,0.4,February_2015
Edna,Nano_C4,2,B6,0.39,February_2015
Edna,MQW_714,2,C6,0.39,February_2015
Edna,MQW_914,2,D6,0.91,February_2015
Edna,Neg_914,2,E6,0.77,February_2015
Edna,Z14_001_P,2,F6,1.18,February_2015
Edna,Z14_001_F,2,G6,10.84,February_2015
Edna,Z14_002_P,2,H6,2.03,February_2015
Edna,Z14_002_F,2,A7,5.65,February_2015
Edna,Z14_003_P,2,B7,6.98,February_2015
Edna,Z14_003_F,2,C7,26.17,February_2015
Edna,Z14_004_P,2,D7,2.66,February_2015
Edna,Z14_004_F,2,E7,9.26,February_2015
Edna,Z14_005_P,2,F7,1.65,February_2015
Edna,Z14_005_F,2,G7,11.2,February_2015
Edna,Z14_006_P,2,H7,1.14,February_2015
Edna,Z14_006_F,2,A8,11.24,February_2015
Edna,Z14_007_P,2,B8,7.49,February_2015
Edna,Z14_007_F,2,C8,22.32,February_2015
Edna,Z14_008_P,2,D8,2.21,February_2015
Edna,Z14_008_F,2,E8,24.49,February_2015
Edna,Z14_009_P,2,F8,1.84,February_2015
Edna,Z14_009_F,2,G8,18.56,February_2015
Edna,Z14_010_P,2,H8,1.97,February_2015
Edna,Z14_010_F,2,A9,5.39,February_2015
Edna,Z14_011_P,2,B9,3.26,February_2015
Edna,Z14_011_F,2,C9,26.17,February_2015
Edna,Z14_012_P,2,D9,0.9,February_2015
Edna,Z14_012_F,2,E9,12.17,February_2015
Edna,Z14_013_P,2,F9,1.63,February_2015
Edna,Z14_013_F,2,G9,11.61,February_2015
Edna,Z14_014_P,2,H9,1.48,February_2015
Edna,Z14_014_F,2,A10,16.27,February_2015
Edna,Z14_015_P,2,B10,4.77,February_2015
Edna,Z14_015_F1,2,C10,11.4,February_2015
Edna,Z14_015_F2,2,D10,8.72,February_2015
Edna,Z14_016_P,2,E10,1.62,February_2015
Edna,Z14_016_F,2,F10,16.63,February_2015
Edna,Z14_017_P,2,G10,0.96,February_2015
Edna,Z14_017_F,2,H10,20.22,February_2015
Edna,Z14_018_P,2,A11,1.41,February_2015
Edna,Z14_018_F,2,B11,15.74,February_2015
Edna,Z14_019_P,2,C11,0.92,February_2015
Edna,Z14_019_F,2,D11,16.03,February_2015
Edna,Z14_020_P,2,E11,1.06,February_2015
Edna,Z14_020_F,2,F11,10.67,February_2015
Edna,Z14_021_P,2,G11,1.32,February_2015
Edna,Z14_021_F,2,A12,10.76,February_2015
Edna,Z14_022_P,2,B12,0.13,February_2015
Edna,Z14_022_F,2,C12,8.44,February_2015
Edna,Z14_023_P,2,D12,4.61,February_2015
Edna,Z14_023_F,2,E12,18.31,February_2015
Edna,Z14_024_P,2,F12,2.72,February_2015
Edna,Z14_024_F,2,G12,6.54,February_2015
Edna,Z14_025_P,3,A1,1.98,February_2015
Edna,Z14_025_F,3,B1,13.08,February_2015
Edna,Z14_026_P,3,C1,0.6,February_2015
Edna,Z14_026_F,3,D1,10.85,February_2015
Edna,Z14_027_P,3,E1,0.47,February_2015
Edna,Z14_027_F,3,F1,9.51,February_2015
Edna,Z14_028_P,3,G1,0.78,February_2015
Edna,Z14_028_F,3,H1,15.37,February_2015
Edna,Z14_029_P,3,A2,1.86,February_2015
Edna,Z14_029_F,3,B2,33.37,February_2015
Edna,Z14_030_P,3,C2,2.47,February_2015
Edna,Z14_030_F,3,D2,28.06,February_2015
Edna,Z14_031_P,3,E2,0.78,February_2015
Edna,Z14_031_F,3,F2,31.45,February_2015
Edna,Z14_032_P,3,G2,2.22,February_2015
Edna,Z14_032_F,3,H2,25.02,February_2015
Edna,Z14_033_P,3,A3,0.79,February_2015
Edna,Z14_033_F,3,B3,5.36,February_2015
Edna,Z14_034_P,3,C3,0.83,February_2015
Edna,Z14_034_F,3,D3,5.33,February_2015
Edna,Z14_035_P,3,E3,0.92,February_2015
Edna,Z14_035_F,3,F3,2.67,February_2015
Edna,Z14_036_P,3,G3,0.84,February_2015
Edna,Z14_036_F,3,H3,4.97,February_2015
Edna,Z14_037_P,3,A4,1.59,February_2015
Edna,Z14_037_F,3,B4,7.81,February_2015
Edna,Z14_038_P,3,C4,0.88,February_2015
Edna,Z14_038_F,3,D4,7.46,February_2015
Edna,Z14_039_P,3,E4,1.12,February_2015
Edna,Z14_039_F,3,F4,14.49,February_2015
Edna,Z14_040_P,3,G4,1.47,February_2015
Edna,Z14_040_F,3,H4,15.79,February_2015
Edna,Z14_041_P,3,A5,1.78,February_2015
Edna,Z14_041_F,3,B5,7.17,February_2015
Edna,Z14_042_P,3,C5,1.5,February_2015
Edna,Z14_042_F,3,D5,7.02,February_2015
Edna,Z14_043_P,3,E5,0.7,February_2015
Edna,Z14_043_F,3,F5,7.87,February_2015
Edna,Z14_044_P,3,G5,1.43,February_2015
Edna,Z14_044_F,3,H5,16.31,February_2015
Edna,Z14_045_P,3,A6,1.93,February_2015
Edna,Z14_045_F,3,B6,12.03,February_2015
Edna,Z14_046_P,3,C6,1.26,February_2015
Edna,Z14_046_F,3,D6,6.13,February_2015
Edna,Z14_047_P,3,E6,1.2,February_2015
Edna,Z14_047_F,3,F6,20.97,February_2015
Edna,Z14_048_P,3,G6,1.62,February_2015
Edna,Z14_048_F,3,H6,10.3,February_2015
Edna,Z14_049_P,3,A7,1.62,February_2015
Edna,Z14_049_F,3,B7,8.02,February_2015
Edna,Z14_050_P,3,C7,1.82,February_2015
Edna,Z14_050_F,3,D7,7.78,February_2015
Edna,Z14_051_P,3,E7,0.06,February_2015
Edna,Z14_051_F,3,F7,0,February_2015
Edna,Z14_052_P,3,G7,0.17,February_2015
Edna,Z14_052_F,3,H7,0.3,February_2015
Edna,Z14_053_P,3,A8,1.58,February_2015
