fraction,independent_var,logLik,AIC,adj.r.squared,FDR.p.value
Free,pH,4.19640014727205,-2.39,0.78,0.0027
Particle,simpson,-1.11009184106576,8.22,0.69,0.026
Particle,pH,-2.85231757099258,11.7,0.58,0.0298
Particle,shannon,-2.99191539172151,11.98,0.56,0.0298
Particle,richness,-3.03692896305585,12.07,0.56,0.0298
Particle,phylo_richness,-3.15204615642355,12.3,0.55,0.0298
Particle,Temp_C,-3.61416742816697,13.23,0.51,0.0371
Particle,ORP_mV,-4.0079669762864,14.02,0.48,0.0448
